nth_trial,second_crosstalk,third_crosstalk,fourth_crosstalk
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,25.0,0.0,0.0
17,20.0,0.0,0.0
18,20.0,0.0,0.0
19,16.666666666666668,0.0,0.0
20,16.666666666666668,0.0,0.0
21,16.666666666666668,0.0,0.0
22,16.666666666666668,0.0,0.0
23,16.666666666666668,0.0,0.0
24,16.666666666666668,0.0,0.0
25,14.285714285714286,0.0,0.0
26,14.285714285714286,0.0,0.0
27,14.285714285714286,0.0,0.0
28,14.285714285714286,0.0,0.0
29,14.285714285714286,14.285714285714286,0.0
30,14.285714285714286,14.285714285714286,0.0
31,14.285714285714286,14.285714285714286,0.0
32,14.285714285714286,14.285714285714286,0.0
33,14.285714285714286,14.285714285714286,0.0
34,14.285714285714286,28.571428571428573,0.0
35,14.285714285714286,28.571428571428573,0.0
36,14.285714285714286,42.857142857142854,0.0
37,14.285714285714286,42.857142857142854,0.0
38,28.571428571428573,42.857142857142854,0.0
39,28.571428571428573,42.857142857142854,0.0
40,28.571428571428573,42.857142857142854,0.0
41,42.857142857142854,42.857142857142854,0.0
42,42.857142857142854,42.857142857142854,0.0
43,42.857142857142854,42.857142857142854,0.0
44,42.857142857142854,42.857142857142854,0.0
45,42.857142857142854,42.857142857142854,0.0
46,42.857142857142854,42.857142857142854,0.0
47,37.5,37.5,0.0
48,37.5,37.5,0.0
49,37.5,37.5,0.0
50,37.5,37.5,0.0
51,37.5,37.5,0.0
52,37.5,37.5,0.0
53,37.5,37.5,0.0
54,37.5,37.5,0.0
55,50.0,37.5,0.0
56,44.44444444444444,33.333333333333336,0.0
57,44.44444444444444,33.333333333333336,0.0
58,55.55555555555556,33.333333333333336,0.0
59,55.55555555555556,33.333333333333336,0.0
60,50.0,30.0,0.0
61,50.0,30.0,0.0
62,50.0,30.0,0.0
63,45.45454545454545,27.272727272727273,0.0
64,45.45454545454545,27.272727272727273,0.0
65,45.45454545454545,27.272727272727273,0.0
66,45.45454545454545,27.272727272727273,0.0
67,41.666666666666664,25.0,0.0
68,41.666666666666664,25.0,0.0
69,38.46153846153846,23.076923076923077,0.0
70,38.46153846153846,23.076923076923077,0.0
71,35.714285714285715,21.428571428571427,0.0
72,33.333333333333336,20.0,0.0
73,33.333333333333336,20.0,0.0
74,31.25,18.75,0.0
75,31.25,18.75,0.0
76,31.25,18.75,0.0
77,31.25,18.75,0.0
78,31.25,25.0,0.0
79,31.25,25.0,0.0
80,31.25,25.0,0.0
81,31.25,25.0,0.0
82,29.41176470588235,23.529411764705884,0.0
83,29.41176470588235,23.529411764705884,0.0
84,35.294117647058826,23.529411764705884,0.0
85,35.294117647058826,23.529411764705884,0.0
86,35.294117647058826,23.529411764705884,0.0
87,33.333333333333336,22.22222222222222,0.0
88,33.333333333333336,22.22222222222222,0.0
89,38.888888888888886,22.22222222222222,0.0
90,38.888888888888886,22.22222222222222,0.0
91,36.8421052631579,21.05263157894737,0.0
92,36.8421052631579,21.05263157894737,0.0
93,36.8421052631579,21.05263157894737,0.0
94,36.8421052631579,21.05263157894737,0.0
95,35.0,20.0,0.0
96,35.0,20.0,0.0
97,35.0,20.0,0.0
98,35.0,20.0,0.0
99,33.333333333333336,19.047619047619047,0.0
100,38.095238095238095,19.047619047619047,0.0
101,38.095238095238095,19.047619047619047,0.0
102,36.36363636363637,18.181818181818183,0.0
103,36.36363636363637,18.181818181818183,0.0
104,36.36363636363637,18.181818181818183,0.0
105,36.36363636363637,18.181818181818183,0.0
106,34.78260869565217,17.391304347826086,0.0
107,34.78260869565217,17.391304347826086,0.0
108,34.78260869565217,21.73913043478261,0.0
109,34.78260869565217,21.73913043478261,0.0
110,34.78260869565217,21.73913043478261,0.0
111,34.78260869565217,21.73913043478261,0.0
112,33.333333333333336,20.833333333333332,0.0
113,33.333333333333336,20.833333333333332,0.0
114,32.0,20.0,0.0
115,30.76923076923077,19.23076923076923,0.0
116,30.76923076923077,19.23076923076923,0.0
117,30.76923076923077,19.23076923076923,0.0
118,30.76923076923077,19.23076923076923,0.0
119,30.76923076923077,23.076923076923077,0.0
120,30.76923076923077,23.076923076923077,0.0
121,29.62962962962963,22.22222222222222,0.0
122,28.571428571428573,21.428571428571427,0.0
123,28.571428571428573,25.0,0.0
124,28.571428571428573,25.0,0.0
125,28.571428571428573,25.0,0.0
126,28.571428571428573,25.0,0.0
127,28.571428571428573,25.0,0.0
128,32.142857142857146,25.0,0.0
129,32.142857142857146,25.0,0.0
130,35.714285714285715,25.0,0.0
