thick_or_thin,enz_step_size,sensor_yield,escaped,unresolved
"thick, 2 um",0.001,101,803,96
"thin, 0.2 um",0.001,600,400,0
"thick, 2 um",0.005,430,570,0
"thin, 0.2 um",0.005,846,154,0
"thick, 2 um",0.01,607,393,0
"thin, 0.2 um",0.01,874,126,0
"thick, 2 um",0.1,920,80,0
"thin, 0.2 um",0.1,928,72,0
