nth_trial,innerXtalk,outerXtalk
726,40.57971014492754,21.497584541062803
727,40.82125603864734,21.497584541062803
728,40.625,21.39423076923077
729,40.625,21.634615384615383
731,40.430622009569376,21.5311004784689
732,40.66985645933014,21.5311004784689
735,40.476190476190474,21.428571428571427
736,40.28436018957346,21.327014218009477
737,40.094339622641506,21.22641509433962
738,39.906103286384976,21.12676056338028
741,39.7196261682243,21.02803738317757
742,39.53488372093023,20.930232558139537
744,39.351851851851855,20.833333333333332
745,39.351851851851855,21.064814814814813
748,39.351851851851855,21.296296296296298
749,39.583333333333336,21.296296296296298
750,39.40092165898618,21.19815668202765
751,39.63133640552996,21.19815668202765
752,39.44954128440367,21.10091743119266
753,39.269406392694066,21.004566210045663
754,39.49771689497717,21.004566210045663
755,39.31818181818182,20.90909090909091
756,39.54545454545455,20.90909090909091
757,39.366515837104075,20.81447963800905
759,39.189189189189186,20.72072072072072
762,39.414414414414416,20.72072072072072
763,39.237668161434975,20.62780269058296
764,39.0625,20.535714285714285
765,39.0625,20.758928571428573
766,38.888888888888886,20.666666666666668
768,38.716814159292035,20.575221238938052
769,38.54625550660793,20.484581497797357
770,38.37719298245614,20.394736842105264
771,38.209606986899566,20.305676855895197
772,38.427947598253276,20.305676855895197
773,38.26086956521739,20.217391304347824
774,38.095238095238095,20.12987012987013
776,38.311688311688314,20.12987012987013
780,38.311688311688314,20.346320346320347
782,38.52813852813853,20.346320346320347
783,38.36206896551724,20.25862068965517
784,38.577586206896555,20.25862068965517
785,38.412017167381975,20.17167381974249
786,38.412017167381975,20.386266094420602
788,38.62660944206009,20.386266094420602
789,38.46153846153846,20.299145299145298
790,38.46153846153846,20.512820512820515
791,38.297872340425535,20.425531914893618
792,38.13559322033898,20.338983050847457
794,38.13559322033898,20.550847457627118
795,37.9746835443038,20.464135021097047
796,37.9746835443038,20.675105485232066
798,38.18565400843882,20.675105485232066
802,38.02521008403362,20.58823529411765
803,38.02521008403362,20.798319327731093
806,37.86610878661088,20.711297071129707
807,38.07531380753138,20.711297071129707
810,37.916666666666664,20.625
811,37.75933609958506,20.53941908713693
813,37.603305785123965,20.454545454545453
814,37.8099173553719,20.454545454545453
816,37.8099173553719,20.66115702479339
817,38.01652892561984,20.66115702479339
818,38.01652892561984,20.867768595041323
819,38.22314049586777,20.867768595041323
821,38.429752066115704,20.867768595041323
822,38.429752066115704,21.074380165289256
824,38.63636363636363,21.074380165289256
825,38.477366255144034,20.987654320987655
827,38.31967213114754,20.901639344262296
829,38.16326530612245,20.816326530612244
831,38.16326530612245,21.020408163265305
833,38.16326530612245,21.224489795918366
834,38.36734693877551,21.224489795918366
836,38.57142857142857,21.224489795918366
837,38.57142857142857,21.428571428571427
840,38.775510204081634,21.428571428571427
842,38.97959183673469,21.428571428571427
844,39.183673469387756,21.428571428571427
845,39.38775510204081,21.428571428571427
846,39.22764227642276,21.341463414634145
849,39.068825910931174,21.25506072874494
850,38.91129032258065,21.169354838709676
855,38.75502008032129,21.08433734939759
856,38.75502008032129,21.285140562248998
857,38.6,21.2
859,38.44621513944223,21.115537848605577
862,38.645418326693225,21.115537848605577
864,38.492063492063494,21.03174603174603
865,38.3399209486166,20.948616600790515
867,38.3399209486166,21.14624505928854
868,38.188976377952756,21.062992125984252
869,38.188976377952756,21.25984251968504
870,38.03921568627451,21.176470588235293
871,37.890625,21.09375
872,38.0859375,21.09375
873,37.93774319066148,21.011673151750973
876,38.13229571984436,21.011673151750973
877,37.98449612403101,20.930232558139537
878,37.83783783783784,20.84942084942085
879,37.83783783783784,21.042471042471043
882,37.69230769230769,20.96153846153846
883,37.69230769230769,21.153846153846153
884,37.69230769230769,21.346153846153847
885,37.547892720306514,21.264367816091955
887,37.404580152671755,21.18320610687023
889,37.404580152671755,21.374045801526716
893,37.26235741444867,21.29277566539924
894,37.121212121212125,21.21212121212121
895,37.31060606060606,21.21212121212121
897,37.16981132075472,21.132075471698112
898,37.35849056603774,21.132075471698112
899,37.21804511278196,21.05263157894737
900,37.07865168539326,20.973782771535582
901,37.265917602996254,20.973782771535582
904,37.265917602996254,21.16104868913858
906,37.12686567164179,21.082089552238806
907,37.3134328358209,21.082089552238806
908,37.174721189591075,21.00371747211896
909,37.174721189591075,21.189591078066915
913,37.03703703703704,21.11111111111111
914,37.03703703703704,21.296296296296298
919,37.22222222222222,21.296296296296298
920,37.08487084870849,21.217712177121772
921,37.269372693726936,21.217712177121772
922,37.13235294117647,21.139705882352942
923,36.99633699633699,21.062271062271062
924,36.99633699633699,21.245421245421245
926,36.86131386861314,21.16788321167883
