nth_trial,innerXtalk,outerXtalk
1,0.0,0.0
3,50.0,0.0
5,100.0,0.0
8,150.0,0.0
10,75.0,0.0
12,100.0,0.0
14,125.0,0.0
16,150.0,0.0
17,100.0,0.0
21,75.0,0.0
22,87.5,0.0
25,100.0,0.0
26,112.5,0.0
27,125.0,0.0
28,100.0,0.0
29,83.33333333333333,0.0
35,91.66666666666667,0.0
37,100.0,0.0
41,85.71428571428571,0.0
42,92.85714285714286,0.0
44,81.25,0.0
48,87.5,0.0
49,77.77777777777777,0.0
51,83.33333333333333,0.0
53,75.0,0.0
54,68.18181818181819,0.0
56,62.5,0.0
57,66.66666666666667,0.0
58,70.83333333333333,0.0
59,65.38461538461539,0.0
61,60.714285714285715,0.0
63,64.28571428571429,0.0
65,60.0,0.0
66,63.333333333333336,0.0
71,66.66666666666667,0.0
72,62.5,0.0
73,65.625,0.0
75,61.76470588235294,0.0
79,58.333333333333336,0.0
81,55.26315789473684,0.0
82,52.5,0.0
83,55.0,0.0
85,52.38095238095238,0.0
88,54.76190476190476,0.0
89,52.27272727272727,0.0
90,50.0,0.0
91,52.17391304347826,0.0
92,50.0,0.0
93,48.0,0.0
94,46.15384615384615,0.0
96,44.44444444444444,0.0
98,46.2962962962963,0.0
