nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,100.0,0.0
5,0.0,0.0,50.0,0.0
6,0.0,0.0,100.0,0.0
7,0.0,0.0,100.0,0.0
8,0.0,50.0,100.0,0.0
9,0.0,50.0,100.0,0.0
10,0.0,50.0,100.0,0.0
11,0.0,33.333333333333336,66.66666666666667,0.0
12,0.0,33.333333333333336,66.66666666666667,0.0
13,0.0,33.333333333333336,66.66666666666667,0.0
14,33.333333333333336,33.333333333333336,66.66666666666667,0.0
15,33.333333333333336,33.333333333333336,66.66666666666667,0.0
16,33.333333333333336,66.66666666666667,66.66666666666667,0.0
17,33.333333333333336,66.66666666666667,66.66666666666667,0.0
18,25.0,50.0,50.0,0.0
19,25.0,50.0,75.0,0.0
20,25.0,50.0,75.0,0.0
21,25.0,50.0,75.0,0.0
22,20.0,40.0,60.0,0.0
23,16.666666666666668,33.333333333333336,50.0,0.0
24,16.666666666666668,33.333333333333336,50.0,0.0
25,16.666666666666668,33.333333333333336,50.0,0.0
26,16.666666666666668,33.333333333333336,50.0,0.0
27,16.666666666666668,33.333333333333336,50.0,0.0
28,16.666666666666668,33.333333333333336,50.0,0.0
29,16.666666666666668,50.0,50.0,0.0
30,16.666666666666668,66.66666666666667,50.0,0.0
31,16.666666666666668,66.66666666666667,66.66666666666667,0.0
32,16.666666666666668,66.66666666666667,66.66666666666667,16.666666666666668
33,14.285714285714286,57.142857142857146,57.142857142857146,14.285714285714286
34,14.285714285714286,57.142857142857146,57.142857142857146,14.285714285714286
35,14.285714285714286,71.42857142857143,57.142857142857146,14.285714285714286
36,14.285714285714286,85.71428571428571,57.142857142857146,14.285714285714286
37,14.285714285714286,85.71428571428571,57.142857142857146,14.285714285714286
38,14.285714285714286,85.71428571428571,57.142857142857146,28.571428571428573
39,14.285714285714286,85.71428571428571,71.42857142857143,28.571428571428573
40,14.285714285714286,85.71428571428571,71.42857142857143,28.571428571428573
41,14.285714285714286,85.71428571428571,71.42857142857143,28.571428571428573
42,14.285714285714286,85.71428571428571,71.42857142857143,28.571428571428573
43,14.285714285714286,85.71428571428571,71.42857142857143,28.571428571428573
