nth_trial,left_outer_crosstalk,left_inner_crosstalk,right_inner_crosstalk,right_outer_crosstalk
102,0.0,5.882352941176471,82.3529411764706,29.41176470588235
103,0.0,5.882352941176471,82.3529411764706,29.41176470588235
104,0.0,5.882352941176471,82.3529411764706,29.41176470588235
105,0.0,5.882352941176471,82.3529411764706,29.41176470588235
106,0.0,5.882352941176471,82.3529411764706,29.41176470588235
107,0.0,5.882352941176471,82.3529411764706,29.41176470588235
108,0.0,5.882352941176471,82.3529411764706,35.294117647058826
109,0.0,5.555555555555555,77.77777777777777,33.333333333333336
110,0.0,5.2631578947368425,73.6842105263158,31.57894736842105
111,0.0,5.0,70.0,30.0
112,0.0,5.0,75.0,30.0
113,0.0,4.761904761904762,71.42857142857143,28.571428571428573
114,0.0,4.761904761904762,71.42857142857143,28.571428571428573
115,0.0,4.761904761904762,71.42857142857143,28.571428571428573
116,0.0,4.545454545454546,68.18181818181819,27.272727272727273
117,0.0,4.545454545454546,72.72727272727273,27.272727272727273
118,0.0,4.3478260869565215,69.56521739130434,26.08695652173913
119,0.0,4.3478260869565215,69.56521739130434,26.08695652173913
120,0.0,4.3478260869565215,69.56521739130434,26.08695652173913
121,0.0,4.166666666666667,66.66666666666667,25.0
122,0.0,4.166666666666667,66.66666666666667,25.0
123,0.0,4.166666666666667,66.66666666666667,25.0
124,0.0,4.166666666666667,66.66666666666667,25.0
125,0.0,8.333333333333334,66.66666666666667,25.0
126,0.0,8.333333333333334,66.66666666666667,25.0
127,0.0,8.333333333333334,66.66666666666667,25.0
128,0.0,8.333333333333334,66.66666666666667,25.0
129,0.0,8.333333333333334,66.66666666666667,25.0
130,0.0,8.333333333333334,66.66666666666667,25.0
131,0.0,8.333333333333334,66.66666666666667,25.0
132,0.0,8.333333333333334,66.66666666666667,25.0
133,0.0,8.333333333333334,66.66666666666667,25.0
134,0.0,8.333333333333334,66.66666666666667,25.0
135,0.0,8.333333333333334,66.66666666666667,25.0
136,0.0,8.0,64.0,24.0
137,0.0,8.0,68.0,24.0
138,0.0,8.0,68.0,24.0
139,0.0,8.0,68.0,24.0
140,0.0,8.0,68.0,24.0
141,0.0,8.0,68.0,24.0
142,0.0,8.0,68.0,28.0
143,0.0,8.0,68.0,28.0
144,0.0,8.0,68.0,28.0
145,0.0,8.0,68.0,28.0
146,0.0,8.0,68.0,28.0
147,0.0,8.0,68.0,28.0
148,0.0,8.0,68.0,28.0
149,0.0,8.0,68.0,28.0
150,0.0,8.0,68.0,28.0
151,0.0,7.6923076923076925,65.38461538461539,26.923076923076923
152,0.0,7.6923076923076925,65.38461538461539,26.923076923076923
153,0.0,7.407407407407407,62.96296296296296,25.925925925925927
154,0.0,7.407407407407407,62.96296296296296,25.925925925925927
155,0.0,7.142857142857143,60.714285714285715,25.0
156,0.0,7.142857142857143,60.714285714285715,25.0
157,0.0,7.142857142857143,60.714285714285715,25.0
158,0.0,7.142857142857143,60.714285714285715,28.571428571428573
159,0.0,7.142857142857143,60.714285714285715,28.571428571428573
160,0.0,7.142857142857143,60.714285714285715,28.571428571428573
