x_coordinate,y_coordinate
-5.465,1.346
-5.48,1.355
-5.477,1.361
-5.477,1.356
-5.473,1.371
-5.47,1.355
-5.45,1.368
-5.45,1.349
-5.434,1.358
-5.43,1.375
-5.44,1.372
-5.45,1.385
-5.445,1.37
-5.46,1.374
-5.453,1.384
-5.47,1.389
-5.492,1.378
-5.49,1.399
-5.484,1.394
-5.453,1.398
-5.45,1.391
-5.45,1.395
-5.44,1.389
-5.418,1.395
-5.42,1.39
-5.434,1.38
-5.42,1.381
-5.44,1.374
-5.465,1.379
-5.46,1.388
-5.46,1.385
-5.45,1.401
-5.457,1.414
-5.47,1.404
-5.46,1.405
-5.473,1.408
-5.49,1.436
-5.484,1.434
-5.477,1.415
-5.49,1.418
-5.504,1.425
-5.504,1.428
-5.508,1.414
-5.5,1.413
-5.51,1.406
-5.52,1.413
-5.496,1.422
-5.496,1.404
-5.496,1.42
-5.48,1.407
-5.49,1.405
-5.48,1.402
-5.473,1.411
-5.46,1.424
-5.453,1.434
-5.453,1.438
-5.46,1.444
-5.473,1.451
-5.48,1.438
-5.504,1.448
-5.496,1.451
-5.492,1.448
-5.477,1.445
-5.473,1.459
-5.477,1.476
-5.47,1.483
-5.46,1.489
-5.453,1.485
-5.445,1.497
-5.445,1.502
-5.44,1.516
-5.46,1.511
-5.453,1.529
-5.43,1.533
-5.41,1.542
-5.406,1.522
-5.395,1.49
-5.383,1.491
-5.383,1.491
-5.375,1.494
-5.39,1.492
-5.395,1.48
-5.41,1.509
-5.406,1.514
-5.402,1.509
-5.39,1.501
-5.387,1.506
-5.387,1.497
-5.383,1.48
-5.383,1.482
-5.39,1.488
-5.39,1.499
-5.418,1.502
-5.41,1.492
-5.414,1.505
-5.414,1.521
-5.402,1.519
-5.39,1.522
-5.387,1.536
-5.363,1.54
-5.367,1.552
-5.363,1.541
-5.367,1.536
-5.363,1.515
-5.344,1.511
-5.336,1.511
-5.336,1.5205
-5.312,1.511
-5.297,1.499
-5.29,1.498
-5.277,1.486
-5.27,1.488
-5.293,1.478
-5.285,1.482
-5.285,1.489
-5.29,1.49
-5.266,1.496
-5.26,1.486
-5.277,1.47
-5.285,1.473
-5.273,1.477
-5.258,1.46
-5.23,1.467
-5.234,1.464
-5.234,1.468
-5.242,1.455
-5.246,1.443
-5.254,1.441
-5.26,1.436
-5.254,1.441
-5.24,1.446
-5.22,1.4375
-5.227,1.446
-5.23,1.432
-5.23,1.425
-5.234,1.418
-5.23,1.421
-5.22,1.415
-5.223,1.398
-5.22,1.396
-5.23,1.385
-5.223,1.4
-5.227,1.389
-5.227,1.369
-5.23,1.379
-5.24,1.351
-5.242,1.331
-5.258,1.311
-5.23,1.326
-5.26,1.314
-5.27,1.305
-5.293,1.298
-5.31,1.296
-5.297,1.308
-5.312,1.301
-5.297,1.307
-5.29,1.305
-5.285,1.3
